DATE,COMPOUT
1/30/2013,1125.039178
2/6/2013,1111.781195
2/13/2013,1085.288086
2/20/2013,1062.916791
2/27/2013,1063.114822
3/6/2013,1020.61069
3/13/2013,1017.995809
3/20/2013,1016.386146
3/27/2013,1021.675176
4/3/2013,1002.190874
4/10/2013,1021.722986
4/17/2013,1015.543375
4/24/2013,1009.827812
5/1/2013,997.3119621
5/8/2013,992.3495577
5/15/2013,1013.461029
5/22/2013,1033.33763
5/29/2013,1047.768343
6/5/2013,1030.534574
6/12/2013,1034.388031
6/19/2013,1037.66297
6/26/2013,1039.373339
7/3/2013,1035.332864
7/10/2013,989.9922128
7/17/2013,998.848158
7/24/2013,995.5928921
7/31/2013,984.4637491
8/7/2013,987.6320334
8/14/2013,1003.719419
8/21/2013,1020.43895
8/28/2013,1020.114446
9/4/2013,1014.77997
9/11/2013,1035.023587
9/18/2013,1046.776846
9/25/2013,1063.963695
10/2/2013,1054.768964
10/9/2013,1065.894737
10/16/2013,1033.926012
10/23/2013,1062.098914
10/30/2013,1081.740475
11/6/2013,1070.548009
11/13/2013,1067.187521
11/20/2013,1054.361012
11/27/2013,1059.421812
12/4/2013,1049.97946
12/11/2013,1082.253965
12/18/2013,1086.192131
12/25/2013,1101.257262
1/1/2014,1046.365571
1/8/2014,1059.445418
1/15/2014,1035.705082
1/22/2014,1018.658879
1/29/2014,1014.060477
2/5/2014,989.7004861
2/12/2014,991.0272301
2/19/2014,1028.140069
2/26/2014,1011.900517
3/5/2014,1028.234296
3/12/2014,1020.996718
3/19/2014,1019.088925
3/26/2014,1025.374318
4/2/2014,1033.846052
4/9/2014,1038.456247
4/16/2014,1044.654524
4/23/2014,1042.928471
4/30/2014,1031.486114
5/7/2014,1042.262115
5/14/2014,1038.260664
5/21/2014,1036.833888
5/28/2014,1027.942694
6/4/2014,1038.784738
6/11/2014,1046.546229
6/18/2014,1042.572947
6/25/2014,1054.697943
7/2/2014,1053.867618
7/9/2014,1041.808162
7/16/2014,1028.234857
7/23/2014,1025.909301
7/30/2014,1048.009649
8/6/2014,1038.433877
8/13/2014,1036.692084
8/20/2014,1022.763377
8/27/2014,1041.297738
9/3/2014,1049.043382
9/10/2014,1050.638032
9/17/2014,1051.606773
9/24/2014,1057.654886
10/1/2014,1054.696247
10/8/2014,1083.084018
10/15/2014,1060.513383
10/22/2014,1062.783587
10/29/2014,1064.780473
11/5/2014,1073.195066
11/12/2014,1079.7597
11/19/2014,1090.89812
11/26/2014,1091.418145
12/3/2014,1095.691514
12/10/2014,1086.618401
12/17/2014,1074.103154
12/24/2014,1051.773028
12/31/2014,1007.574522
1/7/2015,1086.118425
1/14/2015,1029.52941
1/21/2015,1009.859572
1/28/2015,1007.465541
2/4/2015,988.6789734
2/11/2015,994.7992847
2/18/2015,991.8691699
2/25/2015,1026.621468
3/4/2015,998.4270685
3/11/2015,1023.000748
3/18/2015,1025.453662
3/25/2015,1031.772054
4/1/2015,1010.401751
4/8/2015,1018.627825
4/15/2015,1031.903624
4/22/2015,1025.55225
4/29/2015,1023.206482
5/6/2015,1016.716478
5/13/2015,992.3195308
5/20/2015,963.8641679
5/27/2015,944.8647968
6/3/2015,943.5786777
6/10/2015,964.8023011
6/17/2015,974.3460464
6/24/2015,980.8737991
7/1/2015,951.9988847
7/8/2015,1020.477674
7/15/2015,1028.326249
7/22/2015,1047.586942
7/29/2015,1058.278084
8/5/2015,1068.082185
8/12/2015,1059.103522
8/19/2015,1057.107203
8/26/2015,1049.715775
9/2/2015,1032.059671
9/9/2015,1043.94388
9/16/2015,1038.955235
9/23/2015,1030.672164
9/30/2015,957.8365056
10/7/2015,1045.782697
10/14/2015,1049.083932
10/21/2015,1063.91499
10/28/2015,1057.126028
11/4/2015,1058.39779
11/11/2015,1049.424693
11/18/2015,1066.330656
11/25/2015,1057.632282
12/2/2015,1043.758732
12/9/2015,1036.450515
12/16/2015,1014.6478
12/23/2015,1022.315014
12/30/2015,1056.759696
1/6/2016,1082.385927
1/13/2016,1044.725079
1/20/2016,1051.857594
1/27/2016,1061.394108
2/3/2016,1064.869859
2/10/2016,1077.029593
2/17/2016,1084.188349
2/24/2016,1076.427992
3/2/2016,1082.942129
3/9/2016,1084.440724
3/16/2016,1097.530474
3/23/2016,1089.808781
3/30/2016,1100.722102
4/6/2016,1101.786382
4/13/2016,1093.206071
4/20/2016,1110.781579
4/27/2016,1109.564612
5/4/2016,1120.359662
5/11/2016,1115.72533
5/18/2016,1099.009455
5/25/2016,1079.360834
6/1/2016,1066.306462
6/8/2016,1052.213312
6/15/2016,1043.417097
6/22/2016,1038.911272
6/29/2016,1050.792792
7/6/2016,1039.77499
7/13/2016,1047.942387
7/20/2016,1053.333871
7/27/2016,1026.295851
8/3/2016,1022.480484
8/10/2016,1023.327569
8/17/2016,1012.467411
8/24/2016,1004.032314
8/31/2016,981.2918912
9/7/2016,982.6967193
9/14/2016,963.736619
9/21/2016,942.5352223
9/28/2016,946.5059241
10/5/2016,916.2944069
10/12/2016,902.8573387
10/19/2016,905.0061653
10/26/2016,902.6499803
11/2/2016,907.0206079
11/9/2016,907.3070419
11/16/2016,912.0034999
11/23/2016,921.5428985
11/30/2016,923.4606332
12/7/2016,935.3959123
12/14/2016,950.0434897
12/21/2016,965.784782
12/28/2016,986.4597589
1/4/2017,949.4711321
1/11/2017,958.8331183
1/18/2017,966.5717595
1/25/2017,962.940878
2/1/2017,965.2909802
2/8/2017,964.9902012
2/15/2017,964.4081452
2/22/2017,966.1128537
3/1/2017,970.304473
3/8/2017,962.8958471
